senescence_Young,senescence_Old,searchwords_Young,searchwords_Old,papergenes_Young,papergenes_Old,age-signa._Young,age-signa._Old,all_Young,all_Old
"THBS1, -2.36","NFATC2, 2.29","CCL4L2, -3.43","CCL4L2, 3.99","FLT3, 2.27","FGFBP2, 2.36","AMPH, 2.77","AMPH, -3.19","CCL4, -3.78","CCL4, 4.4"
"KIR2DL4, -2.16","SERPINB2, 2.29","TLR5, 3.42","VEGFA, 3.93","APOE, -2.18","FCGR1A, -2.25","MANSC1, 2.72","IMPA2, -3.11","TNFSF9, -3.73","CCL4L2, 4.33"
"PRR5L, -2.16","KIR2DL4, 2.24","PRF1, -3.4","AZU1, 3.87","FCGR1A, 2.11","PRSS23, 2.17","IMPA2, 2.67","FOLR3, -2.95","PRG3, -3.72","TNFSF9, 4.32"
"CDKN1A, -2.13","CCNA1, -2.23","CD83, -3.38","CTSG, 3.79","NKG7, -1.94","NKG7, 2.12","TMEM119, 2.56","ECHDC3, -2.89","KCNJ2, 3.65","KCNJ2, -4.29"
"IL6R, 2.09","HSPA1A, 2.23","GZMB, -3.36","TLR5, -3.73","HLA-DQA1, -1.93","APOE, 2.05","APOC1, -2.51","CD163L1, -2.86","CCL4L2, -3.6","LTF, 4.15"
"NFATC2, -2.02","PRR5L, 2.16","IFNG, -3.28","HBEGF, 3.73","PPP2R2B, -1.91","FLT3, -2.02","ALOX15B, 2.45","ALOX15B, -2.85","VEGFA, -3.58","HBEGF, 4.09"
"LRRK2, 1.96","THBS1, 2.14","PRG3, -3.27","CD83, 3.7","CASP5, 1.81","GBP4, 2.0","EGR1, -2.43","TMEM119, -2.72","SNAI1, -3.5","AZU1, 4.01"
"CCNA1, 1.92","LRRK2, -2.09","RHOB, -3.23","KREMEN1, -3.63","MAPK14, 1.73","PPP2R2B, 2.0","FKBP5, 2.4","SORT1, -2.62","CD83, -3.48","CTSG, 4.01"
"HSPA1A, -1.9","SERPINE1, 2.06","LTF, -3.2","TNFSF9, 3.53","SLC26A8, 1.68","MAPK14, -1.99","SERPINE1, -2.39","MATK, 2.59","TLR5, 3.42","VEGFA, 4.0"
"RNASEL, 1.83","CDKN1A, 2.02","DUSP5, -3.18","PRF1, 3.5","CD274, 1.66","CD274, -1.97","SLC31A2, 2.36","FKBP5, -2.59","EREG, -3.39","CD83, 3.99"
"SERPINB2, -1.79","SLC39A1, -2.0","PTGS2, -3.17","RHOB, 3.45","GBP4, -1.66","SLC26A8, -1.77","CD163L1, 2.29","TPX2, 2.54","IL1R2, 3.39","APOC1, 3.97"
"SRXN1, 1.77","MYBL2, 1.99","IL2RB, -3.15","GZMB, 3.43","HLA-DRB1, -1.55","HLA-DRB1, 1.74","SORT1, 2.25","SLC31A2, -2.53","BAG3, -3.38","SNAI1, 3.96"
"MAP2K6, 1.76","MAP2K6, -1.98","TNFSF9, -3.14","TLR8, -3.4","MDM2, 1.52","MDM2, -1.68","GPER1, 2.21","CDT1, 2.43","LTF, -3.29","TLR5, -3.84"
"ITPR3, -1.6","RNASEL, -1.94","GNLY, -3.13","DUSP5, 3.4","RHOC, -1.48","UPP1, -1.6","DRAM1, 2.15","DRAM1, -2.37","PRF1, -3.29","KREMEN1, -3.74"
"MAPK14, 1.59","SRXN1, -1.89","TLR8, 3.12","IL1R2, -3.38","DPEP2, 1.47","NELL2, 1.6","TPX2, -2.14","DUSP10, 2.36","DUSP5, -3.27","BAG3, 3.73"
"CALM2, 1.57","INHBA, 1.89","KREMEN1, 3.11","PTAFR, -3.37","UPP1, 1.41","CDKN2B, -1.55","CDT1, -2.1","SLC46A3, -2.35","GZMB, -3.24","KCNH7, -3.71"
"SLC39A1, 1.56","ITPR3, 1.85","NLRC4, 3.01","ELANE, 3.35","MYD88, 1.39","MYD88, -1.54","DUSP10, -2.09","GPER1, -2.32","APOC1, -3.23","MRVI1, -3.63"
"NCF4, 1.55","CALM2, -1.82","EREG, -3.01","NLRC4, -3.35","SLC16A10, -1.36","JAK3, -1.5","NMI, 2.09","CDK5RAP2, -2.32","PTGS2, -3.17","DUSP5, 3.6"
"MYBL2, -1.52","MAPK14, -1.79","GZMH, -2.98","GZMH, 3.25","IL6, -1.32","MFGE8, -1.48","HAUS4, 2.07","TOP2A, 2.29","BHLHE40, -3.15","APOA2, 3.6"
"IGFBP3, -1.51","ETS1, 1.78","PTAFR, 2.93","IL2RB, 3.25","SNX3, 1.29","IFI16, -1.46","TOP2A, -2.07","HAUS4, -2.27","RHOB, -3.11","CCL3L3, 3.52"
"ETS1, -1.49","CDK1, 1.7","NFAM1, 2.9","GNLY, 3.17","NELL2, -1.27","SLC7A5, 1.44","APH1B, 2.05","NMI, -2.27","KCNH7, 3.1","RHOB, 3.5"
"MDM2, 1.48","MDM2, -1.69","KIR3DL2, -2.89","KIR3DL2, 3.16","CDKN2B, 1.26","DPEP2, -1.44","SLC46A3, 2.05","LRP10, -2.26","SPP1, -3.09","KIR3DL2, 3.49"
"NUAK1, -1.41","NCF4, -1.65","KBTBD7, 2.86","DEFA3, 3.13","IFI16, 1.25","UBE2J1, -1.4","PYCARD, 2.02","FAM129A, -2.24","AMPH, 3.08","XCL1, 3.49"
"SH3GLB1, 1.4","SH3GLB1, -1.63","TNFAIP8L2, 2.86","APOA2, 3.11","SLC7A5, -1.21","IL1B, -1.39","IRAK3, 2.01","BTG3, 2.24","KIR3DL2, -3.08","XCL2, 3.49"
"GADD45B, -1.39","TGFBR2, -1.63","KIR2DL1, -2.83","NFAM1, -3.1","ITM2C, -1.18","METTL9, -1.38","BTG3, -2.01","HEG1, 2.23","KREMEN1, 3.07","PRF1, 3.49"
"CDKN2B, 1.37","GADD45B, 1.54","SPP1, -2.72","TNFAIP8L2, -3.07","JAK3, 1.16","RRM2B, -1.34","GPNMB, -1.98","APH1B, -2.23","TNFSF10, 3.06","TLR8, -3.48"
"TGFBR2, 1.37","IFI16, -1.54","KIR3DL1, -2.71","GADD45G, 3.05","BIRC3, -1.15","SNX3, -1.34","ANGPTL4, -1.96","HIST1H1C, 2.21","TLR8, 3.05","TNFSF10, -3.46"
"NCF1, 1.36","CYCS, 1.53","SH2D1B, -2.71","PTGS2, 3.05","METTL9, 1.14","GBP5, 1.32","MATK, -1.96","MAP2K6, -2.18","IL2RB, -3.03","ELANE, 3.46"
"MAPK12, -1.36","FOXM1, 1.51","AZU1, -2.71","CCL3L3, 3.04","FCGBP, -1.13","RHOC, 1.3","PRSS23, -1.94","RRM2, 2.16","KBTBD7, 3.02","PTAFR, -3.45"
"RRAS2, -1.36","CCND2, 1.51","KIR2DL3, -2.68","KBTBD7, -3.02","FURIN, 1.1","BIRC3, 1.24","HEG1, -1.94","EGR1, 2.15","KIR2DL1, -3.01","GZMB, 3.45"
"INHBA, -1.33","CDKN2B, -1.5","EGR1, -2.67","XCL2, 2.99","RRM2B, 1.09","SLC16A10, 1.23","THBS1, -1.91","SLC1A3, -2.13","MRVI1, 2.99","LEP, 3.44"
"SRC, -1.31","IL1B, -1.5","RUNX3, -2.66","KIR2DL3, 2.98","UBE2J1, 1.07","ARAP2, 1.23","MAP2K6, 1.89","H1FX, 2.11","PTAFR, 2.97","AMPH, -3.44"
"IL6, -1.31","KMT2A, 1.5","XCL2, -2.64","NLRP12, -2.95","ARAP2, -1.07","FURIN, -1.18","FOS, -1.89","PTX3, 2.09","XCL2, -2.95","HRG, 3.42"
"FN1, -1.31","RRAS2, 1.49","CCL3L3, -2.61","RUNX3, 2.91","DAPK2, 1.05","SIRPG, 1.17","LRP10, 1.88","TROAP, 2.09","KIR2DL3, -2.95","NLRC4, -3.41"
"ZFP36L1, -1.29","NUAK1, 1.48","NUDT16, 2.6","KIR2DL1, 2.9","PHGDH, -1.01","UBE2O, 1.14","RRM2, -1.87","SERPINB2, 2.08","NLRC4, 2.94","BHLHE40, 3.4"
"CYCS, -1.29","CCNB2, 1.47","CTSG, -2.59","CD8A, 2.88","SCML1, -0.98","LBH, 1.11","RNASEL, 1.86","PYCARD, -2.08","GNLY, -2.93","IL1R2, -3.39"
"COL1A1, -1.28","HIPK3, -1.46","GADD45G, -2.59","NUDT16, -2.88","POLR2B, 0.97","ITM2C, 1.11","CPPED1, 1.86","FOS, 2.08","CCL3L3, -2.93","KIR2DL3, 3.37"
"KMT2A, -1.27","PPP3CC, 1.44","TPST1, 2.55","XCL1, 2.87","CELSR2, -0.96","FCGBP, 1.07","CDKN1A, -1.84","PRSS23, 2.06","XCL1, -2.92","KBTBD7, -3.33"
"PPP3CC, -1.27","TXNRD1, -1.43","NLRP12, 2.53","KIR3DL1, 2.86","RPL22, -0.95","PHGDH, 1.07","TNFRSF21, -1.84","CDC20, 2.05","TNFAIP8L2, 2.92","GZMH, 3.29"
"IFI16, 1.27","PIK3R1, 1.43","SERPINE1, -2.5","DEFA4, 2.85","IL1B, 0.94","DAPK2, -0.98","CDK5RAP2, 1.82","MKI67, 2.05","EGR1, -2.92","CD163L1, -3.29"
"CDK1, -1.26","SLC25A24, -1.42","XCL1, -2.48","LEP, 2.82","ABLIM1, -0.93","PRKCZ, -0.98","ERRFI1, -1.81","KIF2C, 2.03","NFAM1, 2.89","IL12RB2, 3.27"
"GSK3B, 1.26","CCNA2, 1.42","IL12RB2, -2.48","EREG, 2.79","PRKCZ, 0.9","APAF1, -0.98","FAM129A, 1.81","HK3, -2.03","ECHDC3, 2.87","GADD45G, 3.26"
"GPX3, -1.26","PRDX2, 1.42","TBX21, -2.45","TUBA1A, -2.79","LBH, -0.89","SCML1, 0.97","HK3, 1.77","HTRA3, 2.03","GZMH, -2.86","IL2RB, 3.24"
"CCND2, -1.25","CDC25A, 1.41","OSM, -2.44","IL12RB2, 2.78","MFGE8, 0.88","CDKN2A, 0.96","ITM2B, 1.77","ERRFI1, 2.0","AZU1, -2.84","EREG, 3.23"
"CDK6, -1.23","SMAD3, 1.4","TMIGD3, 2.44","KLRB1, 2.78","LDHB, -0.88","RPL22, 0.94","DHRS3, -1.76","RNASEL, -2.0","CTSG, -2.83","KIR2DL1, 3.2"
"PPID, 1.22","PIK3CD, -1.38","KLRB1, -2.43","TREML2, -2.75","APAF1, 0.87","POLR2B, -0.93","DTL, -1.76","KIF18B, 1.99","DUSP4, -2.82","NFAM1, -3.17"
"SMAD3, -1.22","GSK3B, -1.38","DUSP4, -2.43","SH2D1B, 2.72","AKT3, -0.85","BACH2, 0.92","HTRA3, -1.76","MAPK14, -1.98","KIR3DL1, -2.81","TNFAIP8L2, -3.17"
"TXN, 1.21","PPID, -1.37","DUSP10, -2.42","ALOX15B, -2.7","UBE2O, -0.82","IL6, 0.89","KIF18B, -1.75","IRAK3, -1.98","IL12RB2, -2.81","DEFA3, 3.17"
"PIK3R1, -1.21","SOD2, -1.34","NCAM1, -2.4","ZNF331, 2.67","GBP5, -0.82","ALAS2, 0.88","TROAP, -1.74","DHRS3, 1.97","FOLR3, 2.8","KIR3DL1, 3.15"
"FOXM1, -1.2","IGFBP3, 1.32","TREML2, 2.39","KLRK1, 2.66","SIRPG, -0.79","ABLIM1, 0.86","KIF2C, -1.73","RMI1, -1.96","SERPINE1, -2.76","MANSC1, -3.15"
"SLC25A24, 1.18","CDK6, 1.31","ALOX15B, 2.37","HRG, 2.66","LDLR, -0.76","AKT3, 0.86","MAPK14, 1.72","CPPED1, -1.96","SH2D1B, -2.76","GNLY, 3.14"
"HMGA1, -1.17","PRKCD, -1.31","TUBA1A, 2.35","SPTA1, 2.64","CDKN2A, -0.76","IGF1R, -0.86","RMI1, 1.72","DTL, 1.95","LEP, -2.74","PTGS2, 3.13"
"CCNA2, -1.17","CALML4, -1.31","ELANE, -2.34","DUSP4, 2.64","PDE9A, -0.75","NDEL1, -0.83","H1FX, -1.72","ARPC1B, -1.91","MANSC1, 2.72","DUSP4, 3.13"
"HIPK3, 1.17","VTN, 1.28","APOE, -2.34","MMP25, -2.61","UBOX5, 0.75","LDHB, 0.82","KIAA0930, 1.7","MYBL2, 1.91","TMIGD3, 2.72","AMBP, 3.08"
"CALML4, 1.15","BCL2, 1.26","LEP, -2.34","NCAM1, 2.59","FLNB, -0.71","FAM102A, 0.82","TPM2, -1.69","TYMS, 1.91","TMEM119, 2.68","IMPA2, -3.02"
"TXNRD1, 1.15","CDC25B, 1.24","APOA2, -2.33","CCR2, -2.59","FAM102A, -0.71","ENTPD5, 0.8","CDC20, -1.69","ITM2B, -1.9","TGFBR3, -2.67","NLRP12, -3.01"
"CDK2, -1.14","PRDX3, -1.24","ZNF331, -2.32","TBX21, 2.58","CD2AP, -0.71","DNAJC6, 0.8","HAT1, 1.68","STS, -1.85","APOE, -2.67","DEFA4, 2.98"
"PRKCD, 1.14","HMGA1, 1.23","MMP25, 2.29","SPP1, 2.56","SAMD9L, 0.7","UBOX5, -0.78","LPCAT2, 1.66","KIFC1, 1.85","GADD45G, -2.66","AIM2, -2.97"
"PIK3CD, 1.14","MAP1LC3A, 1.23","TNFRSF18, -2.28","NCR3, 2.55","TMTC2, -0.7","CD2AP, 0.78","MDM2, 1.66","KIAA0930, -1.85","IMPA2, 2.65","ALOX15B, -2.97"
"PRDX3, 1.13","ZFP36L1, 1.22","PMAIP1, -2.26","DUSP10, 2.54","GABARAP, 0.69","CELSR2, 0.77","MKI67, -1.66","HAT1, -1.85","ALOX15, -2.64","NUDT16, -2.96"
"PINK1, 1.12","BRF2, -1.22","CD8A, -2.26","TMIGD3, -2.52","PKN2, 0.66","CTSB, -0.77","MYBL2, -1.65","SERPINE1, 1.84","APOA2, -2.61","TMEM119, -2.93"
"SLC25A4, -1.11","CCNE1, 1.21","FOS, -2.25","CD247, 2.52","PSME3, 0.65","ATF7IP2, 0.76","SCD, -1.65","CEP78, 1.83","NUDT16, 2.61","TGFBR3, 2.91"
"BCL2, -1.11","MAPK12, 1.2","ALOX15, -2.25","SH2D1A, 2.51","BACH2, -0.65","KLC3, 0.74","TYMS, -1.65","CDKN1A, 1.83","TPST1, 2.6","TPX2, 2.89"
"BRF2, 1.08","IL24, 1.19","SLAMF7, -2.24","CDT1, 2.51","CCR7, 0.65","PSME3, -0.73","ARPC1B, 1.64","PTTG1, 1.83","VCAM1, -2.59","DEFA1B, 2.88"
"NCF2, 1.07","CCNB1, 1.19","SLA2, -2.24","DUSP8, 2.5","EPHX2, -0.64","GBP1, 0.72","KIFC1, -1.64","FAM198B, -1.82","ANGPTL4, -2.59","CD8A, 2.88"
"IL1B, 1.05","NCF2, -1.19","CD160, -2.22","PMAIP1, 2.49","IGF1R, 0.64","LDLR, 0.67","BGN, -1.63","JMY, 1.81","ALOX15B, 2.57","RUNX3, 2.88"
"ABL1, -1.04","TXN, -1.17","S100A12, 2.22","SLAMF7, 2.47","ATF7IP2, -0.62","DDX58, -0.67","STS, 1.63","RARRES3, 1.8","NLRP12, 2.57","KLRB1, 2.87"
"MAPK1, 1.04","SRC, 1.16","CARD11, -2.21","AMBP, 2.44","DDX58, 0.61","GABARAP, -0.66","TGM2, -1.6","KIF3C, -1.79","NCAM1, -2.52","ECHDC3, -2.87"
"LONP1, -1.04","PPP3CA, -1.14","NCR3, -2.21","CARD11, 2.44","IGF2R, 0.61","IGF2R, -0.65","CDKN1C, -1.59","THBS1, 1.79","RUNX3, -2.51","SPP1, 2.87"
"CDC25B, -1.03","SRF, -1.13","CCR2, 2.21","CCL5, 2.43","CTSB, 0.6","LEF1, 0.65","CXCL12, -1.58","CIT, 1.79","PMAIP1, -2.5","VCAM1, 2.85"
