senescence_Young,senescence_Old,searchwords_Young,searchwords_Old,papergenes_Young,papergenes_Old,age-signa._Young,age-signa._Old,all_Young,all_Old
"PIK3CD, 0.0",,"MEN1, 0.003","MAP3K3, 0.001","DAPK2, 0.004","FCGBP, 0.001","RIMS1, 0.004","CDKN1A, 0.002","BICD1, 0.004","TMPO, 0.001"
"ADNP2, 0.0",,"NAPG, 0.002","DHX8, 0.0","TMTC2, 0.004","CASP5, 0.001","CENPN, 0.004","ITPKB, 0.002","CD96, 0.003","MAN1B1, 0.001"
"NOX5, 0.0",,"NR1D2, 0.001","PSMB2, 0.0","SNX3, 0.004","CD27, 0.0","MVK, 0.004","IER2, 0.002","NUP93, 0.003","WAS, 0.001"
,,"SMAD3, 0.001","PATJ, 0.0","CELSR2, 0.003","BACH2, 0.0","EDEM2, 0.004","DHRS3, 0.001","TYROBP, 0.002","WNT6, 0.0"
,,"CAMKK2, 0.001","ZNF792, 0.0","SLC16A10, 0.002","ABLIM1, 0.0","CIT, 0.003","FILIP1L, 0.001","TNFSF13, 0.002","CR2, 0.0"
,,"CDC42, 0.001","PPIH, 0.0","CD248, 0.002","MAPK14, 0.0","VENTX, 0.002","IMPA2, 0.001","GPX7, 0.002","ADAM10, 0.0"
,,"CYBA, 0.001","ECE1, 0.0","NDEL1, 0.002","AKT1, 0.0","BGN, 0.002","NFE2L2, 0.001","TLR9, 0.002","SENP7, 0.0"
,,"SLC2A1, 0.001","LAT, 0.0","DPEP2, 0.002","CCR7, 0.0","CWF19L1, 0.002","CKS1B, 0.001","KAT5, 0.001","FZD2, 0.0"
,,"CCND3, 0.001","ROCK1, 0.0","GZMH, 0.001",,"DAZAP1, 0.002","KL, 0.001","RASGRP1, 0.001",
,,"HRAS, 0.0",,"APAF1, 0.001",,"SLFN11, 0.002","TNFSF13, 0.001","CDCA5, 0.001",
,,"PIK3C3, 0.0",,"LDLRAP1, 0.001",,"PLAC9, 0.002","KIF20A, 0.0","IGHV3-53, 0.001",
,,"NFKB1, 0.0",,"CDKN2A, 0.001",,"TRIP13, 0.002","DARS2, 0.0","SPTBN4, 0.001",
,,"WNT3, 0.0",,"LDHB, 0.001",,"CD81, 0.001","DTL, 0.0","HSPD1, 0.001",
,,"SLC11A1, 0.0",,"NT5E, 0.001",,"PCNA, 0.001","SMG1, 0.0","VIM, 0.001",
,,"ITGA10, 0.0",,"AIM2, 0.0",,"COQ2, 0.001","TOMM40, 0.0","PLEKHO1, 0.001",
,,"PEA15, 0.0",,"CMPK2, 0.0",,"SP1, 0.001",,"ERRFI1, 0.001",
,,"FLNA, 0.0",,"CUL4A, 0.0",,"FH, 0.001",,"BCL2L11, 0.0",
,,"GNAO1, 0.0",,"ATF7IP2, 0.0",,"MAN2B2, 0.0",,"COL4A2, 0.0",
,,,,"GABARAPL1, 0.0",,"DPY30, 0.0",,"PRKCH, 0.0",
,,,,,,"ASAH1, 0.0",,"C1orf198, 0.0",
,,,,,,"P2RX5, 0.0",,,
,,,,,,"RSL1D1, 0.0",,,
,,,,,,"PTBP1, 0.0",,,
,,,,,,"UBE2T, 0.0",,,
