,Term,Overlap,Adjusted P-value,Genes
133,Alpha-V beta-3 integrin/OPN pathway,2/31,4.36e-02,JUN; SYK
134,Gap junction pathway,3/90,4.36e-02,TUBA1A; TUBB; ITPR3
135,Activated NOTCH1 signaling in the nucleus,2/31,4.36e-02,APH1B; PSEN1
136,Signaling by ERBB4,3/93,4.70e-02,CDKN1A; APH1B; PSEN1
137,Glycoprotein VI-mediated activation cascade,2/33,4.74e-02,SYK; RHOB
138,Syndecan 2 pathway,2/33,4.74e-02,CXCL8; EZR
139,ERBB signaling pathway,3/94,4.74e-02,CDKN1A; JUN; PIK3CD
140,Fc gamma receptor-mediated phagocytosis,3/94,4.74e-02,SYK; ARPC3; PIK3CD
141,Calcium signaling pathway,4/178,4.89e-02,PPP3CC; VDAC2; ITPR3; PPID
142,Induction of apoptosis through DR3 and DR4/5 death receptors,2/34,4.92e-02,TNFSF10; RIPK1
143,Interleukin-7 interactions in immune response,2/34,4.92e-02,JUN; CXCL8
144,Mitochondrial pathway of apoptosis: BH3-only Bcl-2 family,3/97,4.97e-02,JUN; PPP2R2B; VDAC2
145,Downstream signaling events Of B cell receptor (BCR),3/98,5.06e-02,PSMD6; CDKN1A; PSMB8
146,Autophagy regulation,2/35,5.06e-02,IFNG; PIK3C3
147,Cytokines and inflammatory response,2/35,5.06e-02,CXCL8; IFNG
148,Huntington's disease,4/184,5.21e-02,POLR2B; VDAC2; CYCS; PPID
149,TNF-alpha signaling pathway,3/101,5.35e-02,JUN; OTUD7B; RIPK1
150,ALK in cardiac myocytes,2/37,5.48e-02,TGFBR3; TGFBR2
151,FRA pathway,2/37,5.48e-02,JUN; CXCL8
152,Cyclin D-associated events in G1,2/38,5.72e-02,CDKN1A; CDK6
153,Amoebiasis,3/105,5.78e-02,CXCL8; IFNG; PIK3CD
154,G13 signaling pathway,2/39,5.86e-02,PIK3CD; CIT
155,FAS pathway and stress induction of heat shock protein regulation,2/39,5.86e-02,JUN; CYCS
156,ERBB1 downstream pathway,3/106,5.86e-02,JUN; ARPC3; PIK3CD
157,Nuclear signaling by ErbB4,2/40,6.11e-02,APH1B; PSEN1
158,Jak-STAT signaling pathway,4/199,6.32e-02,CXCL8; IFNG; PIK3CD; IL12RB2
159,Graft-versus-host disease,2/41,6.32e-02,IFNG; KIR2DL3
160,Signaling events mediated by T cell protein tyrosine phosphatase (TC-PTP),2/42,6.49e-02,PIK3CD; VEGFA
161,TWEAK signaling pathway,2/42,6.49e-02,JUN; RIPK1
162,Netrin-1 signaling,2/42,6.49e-02,ABLIM1; EZR
163,mTOR signaling pathway,3/113,6.59e-02,CYCS; PIK3CD; VEGFA
164,Beta-3 integrin cell surface interactions,2/43,6.67e-02,TGFBR2; VEGFA
165,"Platelet activation, signaling and aggregation",4/205,6.67e-02,SYK; ITPR3; RHOB; VEGFA
166,ERBB2/ERBB3 signaling events,2/44,6.92e-02,JUN; PIK3CD
167,Cell cycle checkpoints,3/117,7.04e-02,PSMD6; CDKN1A; PSMB8
168,"Interleukin-3, interleukin-5, and GM-CSF signaling",2/45,7.13e-02,SYK; PIK3CD
169,Signaling by NOTCH,3/119,7.23e-02,JUN; APH1B; PSEN1
170,Immunoregulatory interactions between a lymphoid and a non-lymphoid cell,3/119,7.23e-02,ICAM3; KIR2DL3; KIR2DL4
171,Notch signaling pathway,3/121,7.51e-02,CDKN1A; APH1B; PSEN1
172,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",2/47,7.55e-02,PYCARD; AIM2
173,Axon guidance,5/325,7.68e-02,ABLIM1; RGS3; PPP3CC; EZR; RHOB
174,ATM pathway,2/48,7.77e-02,CDKN1A; JUN
175,Kit receptor transcriptional targets,1/5,7.89e-02,VEGFA
176,Neurophilin interactions with VEGF and VEGF receptor,1/5,7.89e-02,VEGFA
177,Ceramide signaling pathway,2/49,7.89e-02,CYCS; RIPK1
178,Interleukin-5 signaling pathway,2/49,7.89e-02,JUN; SYK
179,Neurotrophin signaling pathway,3/126,7.96e-02,JUN; PIK3CD; PSEN1
180,Phosphatidylinositol metabolism,2/50,8.10e-02,PIK3CD; PIK3C3
181,Actin cytoskeleton regulation,4/226,8.33e-02,ARPC3; PIK3CD; PIK3C3; EZR
182,Vitamin B12 metabolism,2/52,8.57e-02,IFNG; APOE
183,Interleukin-2 receptor beta chain in T cell activation,2/52,8.57e-02,SYK; NMI
184,Amyotrophic lateral sclerosis (ALS),2/53,8.78e-02,PPP3CC; CYCS
185,JNK/MAPK pathway,2/53,8.78e-02,JUN; DUSP10
186,RANKL signaling pathway,2/54,8.90e-02,JUN; SYK
187,Non-small cell lung cancer,2/54,8.90e-02,CDK6; PIK3CD
188,Focal adhesion,4/233,8.90e-02,JUN; PIK3CD; RHOB; VEGFA
189,Proteolysis and signaling pathway of Notch,1/6,8.90e-02,PSEN1
190,TAp63 pathway,2/55,9.16e-02,CDKN1A; DHRS3
191,Signal transduction,10/1020,9.21e-02,JUN; CDKN1A; APH1B; CXCL8; CCL4; CCL3; ICAM3; ITPR3; ATP6V1E2; MYD88
192,SHP2 signaling,2/57,9.58e-02,IFNG; VEGFA
193,Inositol phosphate metabolism,2/57,9.58e-02,PIK3CD; PIK3C3
194,Keratinocyte differentiation,2/57,9.58e-02,JUN; RIPK1
195,Gamma-secretase-mediated ErbB4 signaling pathway,1/7,9.74e-02,PSEN1
196,Viral dsRNA-TLR3-TRIF complex activation of RIP1,1/7,9.74e-02,RIPK1
197,Apoptotic factor-mediated response,1/7,9.74e-02,CYCS
198,Autodegradation of Cdh1 by Cdh1-APC/C,2/58,9.74e-02,PSMD6; PSMB8
199,BAD activation and translocation to mitochondria,1/7,9.74e-02,PPP3CC
200,Interleukin-5 regulation of apoptosis,3/144,1.00e-01,CXCL8; CCL3; MYD88
201,RAGE pathway,2/60,1.02e-01,CXCL8; VEGFA
202,FGF signaling pathway,2/61,1.04e-01,JUN; PSEN1
203,Licensing factor removal from origins,2/61,1.04e-01,PSMD6; PSMB8
204,Shigellosis,2/62,1.06e-01,CXCL8; ARPC3
205,Organic cation transport,1/8,1.07e-01,SLC22A4
206,Proepithelin conversion to epithelin and wound repair control,1/8,1.07e-01,CXCL8
207,TSP1-induced apoptosis in microvascular endothelial cell,1/8,1.07e-01,JUN
208,Integrated breast cancer pathway,3/152,1.09e-01,JUN; TGFBR2; VEGFA
209,Ubiquitin-mediated degradation of phosphorylated Cdc25A,2/64,1.09e-01,PSMD6; PSMB8
210,MAPK cascade role in angiogenesis,2/64,1.09e-01,PIK3CD; VEGFA
211,LPA receptor mediated events,2/65,1.12e-01,JUN; CXCL8
212,Telomerase regulation,2/67,1.12e-01,JUN; IFNG
213,MAP kinase pathway regulation through dual specificity phosphatases,1/9,1.12e-01,DUSP2
214,Gene expression regulation by hypoxia-inducible factor,1/9,1.12e-01,VEGFA
215,West Nile virus infection,1/9,1.12e-01,CYCS
216,Elevation of cytosolic calcium levels,1/9,1.12e-01,ITPR3
217,G1 to S cell cycle control,2/67,1.12e-01,CDKN1A; CDK6
218,Endochondral ossification,2/66,1.12e-01,RUNX3; VEGFA
219,Destabilization of mRNA by AUF1 (hnRNP D0),2/66,1.12e-01,PSMD6; PSMB8
220,Myometrial relaxation and contraction pathways,3/155,1.12e-01,JUN; RGS3; ITPR3
221,Integrin signaling pathway,3/155,1.12e-01,JUN; ARPC3; RHOB
222,HIF-1 transcriptional activity in hypoxia,2/66,1.12e-01,JUN; VEGFA
223,Activation of NF-kappaB in B cells,2/68,1.14e-01,PSMD6; PSMB8
224,CD8/T cell receptor downstream pathway,2/68,1.14e-01,JUN; IFNG
225,Bacterial invasion of epithelial cells,2/71,1.18e-01,ARPC3; PIK3CD
226,Rac1 cell motility signaling pathway,2/71,1.18e-01,JUN; ARPC3
227,RIG-I-like receptor signaling pathway,2/71,1.18e-01,CXCL8; RIPK1
228,PIP biosynthesis at the late endosome membrane,1/10,1.18e-01,PIK3C3
229,IKK complex recruitment mediated by RIP1,1/10,1.18e-01,RIPK1
230,Activation of the AP-1 family of transcription factors,1/10,1.18e-01,JUN
231,TRAF6-mediated IRF7 activation in TLR7/8 or 9 signaling,1/10,1.18e-01,MYD88
232,Long-term potentiation,2/70,1.18e-01,PPP3CC; ITPR3
233,G alpha q pathway,2/70,1.18e-01,RGS3; ITPR3
234,CDC42 signaling events,2/70,1.18e-01,JUN; ARPC3
235,Free radical-induced apoptosis,1/10,1.18e-01,CXCL8
236,Insulin signaling pathway,4/277,1.20e-01,JUN; PIK3CD; PIK3C3; RHOB
237,Protein processing in the endoplasmic reticulum,3/166,1.20e-01,DNAJB12; HSPA1B; UBE2J1
238,Degradation of beta-catenin by the destruction complex,2/73,1.22e-01,PSMD6; PSMB8
239,Signaling by NOTCH1,2/73,1.22e-01,APH1B; PSEN1
240,Disease,7/674,1.22e-01,PSMD6; CDKN1A; CXCL8; POLR2B; ITPR3; ATP6V1E2; PSMB8
241,Integrins in angiogenesis,2/74,1.23e-01,TGFBR2; VEGFA
242,Signaling by VEGF,1/11,1.23e-01,VEGFA
243,TGF-beta signaling in gastrointestinal stem cells,1/11,1.23e-01,TGFBR2
244,Cystic fibrosis transmembrane conductance regulator (CFTR) and beta 2 adrenergic receptor (b2AR) pathway,1/11,1.23e-01,EZR
245,Unwinding of DNA,1/11,1.23e-01,GINS4
246,Erythropoietin-mediated neuroprotection through NF-kB,1/11,1.23e-01,CDKN1A
247,SODD/TNFR1 signaling pathway,1/12,1.31e-01,RIPK1
248,Salmonella infection,1/12,1.31e-01,ARPC3
249,D4-GDI signaling pathway,1/12,1.31e-01,JUN
250,NF-kappaB activation through FADD/RIP-1 pathway,1/12,1.31e-01,RIPK1
251,Antigen processing: cross presentation,2/79,1.33e-01,PSMD6; PSMB8
252,Fc epsilon receptor I signaling pathway,2/79,1.33e-01,SYK; PIK3CD
253,Opioid signaling,2/80,1.35e-01,PPP3CC; ITPR3
254,Nuclear beta-catenin signaling and target gene transcription regulation,2/80,1.35e-01,JUN; CXCL8
255,MAP kinase signaling pathway,2/81,1.37e-01,JUN; RIPK1
256,Organic cation/anion/zwitterion transport,1/13,1.38e-01,SLC22A4
257,PIP biosynthesis at the early endosome membrane,1/13,1.38e-01,PIK3C3
258,APC/C-mediated degradation of cell cycle proteins,2/82,1.38e-01,PSMD6; PSMB8
259,ATM-dependent DNA damage response,2/82,1.38e-01,CDKN1A; JUN
260,Interferon gamma signaling regulation,1/14,1.43e-01,IFNG
261,TGF-beta regulation of skeletal system development,2/85,1.43e-01,IFNG; TGFBR2
262,Integrin cell surface interactions,2/85,1.43e-01,SYK; ICAM3
263,AKT phosphorylation of cytosolic targets,1/14,1.43e-01,CDKN1A
264,Adhesion and diapedesis of lymphocytes,1/14,1.43e-01,CXCL8
265,T cell receptor/JNK pathway,1/14,1.43e-01,JUN
266,DCC-mediated attractive signaling,1/14,1.43e-01,ABLIM1
267,Viral messenger RNA biosynthesis,1/14,1.43e-01,POLR2B
268,mRNA stability regulation by proteins that bind AU-rich elements,2/86,1.45e-01,PSMD6; PSMB8
269,HDL-mediated lipid transport,1/15,1.45e-01,APOE
270,Hematopoiesis regulation by cytokines,1/15,1.45e-01,CXCL8
271,Erythrocyte differentiation pathway,1/15,1.45e-01,CCL3
272,Mu-calpain pathway,1/15,1.45e-01,EZR
273,Interleukin-17 signaling pathway,1/15,1.45e-01,CXCL8
274,Stress induction of HSP regulation,1/15,1.45e-01,CYCS
275,PRC2 complex long-term gene silencing through modification of histone tails,1/15,1.45e-01,EZH2
276,Repression of pain sensation by the transcriptional regulator DREAM,1/15,1.45e-01,JUN
277,Mitotic G2-G2/M phases,2/87,1.45e-01,TUBA1A; TUBB
278,Oncostatin M,4/311,1.45e-01,JUN; CDKN1A; CXCL8; VEGFA
279,Calcium signaling by HBx of hepatitis B virus,1/15,1.45e-01,JUN
280,HIF-1 degradation in normoxia,2/88,1.45e-01,PSMD6; PSMB8
281,Peptide G-protein coupled receptors,3/192,1.45e-01,CXCL8; CCL4; CCL3
282,Prostate cancer,2/89,1.46e-01,CDKN1A; PIK3CD
283,Acetylation and deacetylation of RelA in the nucleus,1/16,1.49e-01,RIPK1
284,Rb tumor suppressor/checkpoint signaling in response to DNA damage,1/16,1.49e-01,CDKN1A
285,Selenium metabolism and selenoproteins,1/16,1.49e-01,JUN
286,Control of cell cycle and breast tumor growth by estrogen-responsive protein Efp,1/16,1.49e-01,CDK6
287,TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition),1/16,1.49e-01,TGFBR2
288,p75 neurotrophin receptor signaling via NF-kB,1/16,1.49e-01,MYD88
289,Inhibition of platelet activation by aspirin,1/16,1.49e-01,SYK
290,PI3K subunit p85 role in regulation of actin organization and cell migration,1/16,1.49e-01,ARPC3
291,HIV infection,3/200,1.52e-01,PSMD6; POLR2B; PSMB8
292,PIP biosynthesis at the Golgi membrane,1/17,1.53e-01,PIK3C3
293,"Endocytotic role of NDK, phosphins and dynamin",1/17,1.53e-01,PPP3CC
294,Dendritic cells in regulating TH1 and TH2 development,1/17,1.53e-01,IFNG
295,Chylomicron-mediated lipid transport,1/17,1.53e-01,APOE
296,Cadmium-induced DNA biosynthesis and proliferation in macrophages,1/17,1.53e-01,JUN
297,Atypical NF-kappaB pathway,1/17,1.53e-01,SYK
298,Post-chaperonin tubulin folding pathway,1/17,1.53e-01,TUBA1A
299,Activation of BH3-only proteins,1/17,1.53e-01,PPP3CC
300,Cells and molecules involved in local acute inflammatory response,1/17,1.53e-01,CXCL8
301,Hemostasis pathway,5/468,1.59e-01,SYK; ITPR3; KIF22; RHOB; VEGFA
302,TNFR2 signaling pathway,1/18,1.59e-01,RIPK1
303,Downregulation of MTA-3 in ER-negative breast tumors,1/18,1.59e-01,TUBA1A
304,Effect of METS on macrophage differentiation,1/18,1.59e-01,JUN
305,Wnt signaling pathway and pluripotency,2/98,1.59e-01,JUN; PPP2R2B
306,Potassium channels,2/99,1.61e-01,KCNH7; KCNJ2
307,Granule cell survival pathway,2/99,1.61e-01,JUN; CYCS
308,Cell cycle progression regulation by PLK3,1/19,1.65e-01,CYCS
