,Term,Overlap,Adjusted P-value,Genes
60,Proepithelin conversion to epithelin and wound repair control,2/8,4.94e-03,CXCL8; ELANE
61,Allograft rejection,3/37,5.86e-03,IFNG; PRF1; GZMB
62,FRA pathway,3/37,5.86e-03,JUN; CXCL8; PLAU
63,MAP kinase pathway regulation through dual specificity phosphatases,2/9,5.86e-03,DUSP4; DUSP2
64,NOD signaling pathway,4/85,5.86e-03,NLRP12; CXCL8; AIM2; NLRC4
65,Alpha defensins,2/9,5.86e-03,DEFA4; DEFA3
66,Thymic stromal lymphopoietin (TSLP) pathway,4/90,7.15e-03,CXCL8; CD83; CCL4; CCL3
67,Beta-3 integrin cell surface interactions,3/43,8.30e-03,PLAU; SPP1; VEGFA
68,Type 1 diabetes mellitus,3/43,8.30e-03,IFNG; PRF1; GZMB
69,Osteopontin signaling,2/11,8.35e-03,PLAU; SPP1
70,Interferon-gamma signaling pathway,4/97,8.90e-03,VCAM1; IFNG; PTAFR; NCAM1
71,Interferon signaling,5/168,9.57e-03,EGR1; VCAM1; IFNG; PTAFR; NCAM1
72,Granzyme A-mediated apoptosis pathway,2/12,9.57e-03,PRF1; GZMB
73,CTL mediated immune response against target cells,2/13,1.11e-02,PRF1; GZMB
74,Amoebiasis,4/105,1.13e-02,CXCL8; IFNG; IL1R2; CTSG
75,TGF-beta regulation of extracellular matrix,9/565,1.22e-02,TGFBR3; VCAM1; IMPA2; SERPINE1; APOC1; TNFSF10; APOE; PTGS2; VEGFA
76,Adhesion and diapedesis of lymphocytes,2/14,1.23e-02,CXCL8; VCAM1
77,Platelet amyloid precursor protein pathway,2/14,1.23e-02,PLAU; SERPINE1
78,Vitamin B12 metabolism,3/52,1.25e-02,IFNG; SERPINE1; APOE
79,JNK/MAPK pathway,3/53,1.31e-02,DUSP4; JUN; DUSP10
80,Adhesion and diapedesis of granulocytes,2/15,1.31e-02,CXCL8; IFNG
81,Fibrinolysis pathway,2/15,1.31e-02,PLAU; SERPINE1
82,Hematopoiesis regulation by cytokines,2/15,1.31e-02,CXCL8; CD8A
83,Interleukin-17 signaling pathway,2/15,1.31e-02,CXCL8; CD8A
84,Cytosolic DNA-sensing pathway,3/56,1.43e-02,AIM2; CCL4L2; CCL4
85,Peptide G-protein coupled receptors,5/192,1.43e-02,CXCL8; CCL4; XCL2; CCL3; XCL1
86,Hypoxia-inducible factor in the cardivascular system,2/16,1.44e-02,JUN; VEGFA
87,SHP2 signaling,3/57,1.45e-02,IFNG; IL2RB; VEGFA
88,Mechanism of gene regulation by peroxisome proliferators via PPAR-alpha,3/57,1.45e-02,JUN; APOA2; PTGS2
89,Caspase cascade in apoptosis,3/59,1.48e-02,PRF1; TNFSF10; GZMB
90,NO2-dependent IL-12 pathway in NK cells,2/17,1.48e-02,IFNG; IL12RB2
91,Integrin beta-5 pathway,2/17,1.48e-02,VCAM1; PLAU
92,Inflammasomes,2/17,1.48e-02,AIM2; NLRC4
93,Chylomicron-mediated lipid transport,2/17,1.48e-02,APOA2; APOE
94,Cells and molecules involved in local acute inflammatory response,2/17,1.48e-02,CXCL8; VCAM1
95,Arachidonic acid metabolism,3/58,1.48e-02,ALOX15; PTGS2; ALOX15B
96,Jak-STAT signaling pathway,5/199,1.48e-02,CXCL8; IFNG; LEP; IL2RB; IL12RB2
97,Interleukin-1 signaling pathway,4/125,1.58e-02,JUN; CXCL8; IL1R2; PTGS2
98,Pertussis toxin-insensitive CCR5 signaling in macrophage,2/18,1.58e-02,JUN; CCL4
99,Downregulation of MTA-3 in ER-negative breast tumors,2/18,1.58e-02,TUBA1A; SNAI1
100,Folate metabolism,3/63,1.69e-02,IFNG; SERPINE1; FOLR3
101,TP53 network,2/19,1.69e-02,TNFSF10; PMAIP1
102,Tob role in T-cell activation,2/19,1.69e-02,TGFBR3; IFNG
103,Eicosanoid biosynthesis,2/19,1.69e-02,PTGS2; ALOX15B
104,LPA receptor mediated events,3/65,1.77e-02,JUN; CXCL8; HBEGF
105,Oncostatin M,6/311,1.96e-02,JUN; CXCL8; PLAU; SERPINE1; PTGS2; VEGFA
106,Epithelial cell signaling in Helicobacter pylori infection,3/68,1.98e-02,JUN; CXCL8; HBEGF
107,S1P/S1P1 pathway,2/21,1.99e-02,PTGS2; VEGFA
108,Complement and coagulation cascades,3/70,2.10e-02,PLAU; SERPINE1; APOA2
109,Leishmaniasis,3/72,2.25e-02,JUN; IFNG; PTGS2
110,Blood clotting cascade,2/23,2.30e-02,PLAU; SERPINE1
111,Th1/Th2 differentiation pathway,2/23,2.30e-02,IFNG; IL12RB2
112,SHC1 events in ERBB2 signaling,2/25,2.68e-02,EREG; HBEGF
113,Signaling events mediated by hepatocyte growth factor receptor (c-Met),3/79,2.81e-02,EGR1; JUN; SNAI1
114,Apoptosis,5/242,2.82e-02,JUN; PRF1; TNFSF10; PMAIP1; GZMB
115,Interleukin-9 regulation of target genes,2/26,2.82e-02,CCL3; GZMB
116,ATM-dependent DNA damage response,3/82,3.01e-02,JUN; PLAU; PMAIP1
117,SMAD2/3 nuclear pathway,3/82,3.01e-02,JUN; SERPINE1; RUNX3
118,Response to elevated platelet cytosolic calcium,3/83,3.06e-02,SERPINE1; HRG; VEGFA
119,Toll receptor cascades,4/159,3.06e-02,DUSP4; JUN; TLR8; TLR5
120,Myc active pathway,3/85,3.24e-02,SNAI1; PMAIP1; KIR3DL1
121,Integrin beta-2 pathway,2/29,3.29e-02,VCAM1; PLAU
122,Lipoprotein metabolism,2/29,3.29e-02,APOA2; APOE
123,Apoptosis intrinsic pathway,2/30,3.40e-02,PMAIP1; GZMB
124,Inflammatory response pathway,2/30,3.40e-02,IFNG; IL2RB
125,Interleukin-2/STAT5 pathway,2/30,3.40e-02,IL2RB; PRF1
126,Nuclear events mediated by MAP kinases,2/30,3.40e-02,DUSP4; JUN
127,Extracellular matrix organization,3/93,3.90e-02,MMP25; CTSG; ELANE
128,ERBB signaling pathway,3/94,3.99e-02,JUN; EREG; HBEGF
129,Interleukin-7 interactions in immune response,2/34,4.23e-02,JUN; CXCL8
130,Mitochondrial pathway of apoptosis: BH3-only Bcl-2 family,3/97,4.27e-02,JUN; GZMB; CTSG
131,Prion diseases,2/35,4.37e-02,EGR1; NCAM1
132,Cytokines and inflammatory response,2/35,4.37e-02,CXCL8; IFNG
133,p38 alpha/beta MAPK downstream pathway,2/38,5.00e-02,JUN; PTGS2
134,ERBB4 signaling events,2/38,5.00e-02,EREG; HBEGF
135,BMAL1-CLOCK/NPAS2 activates circadian expression,2/38,5.00e-02,SERPINE1; BHLHE40
136,GPCR ligand binding,6/410,5.43e-02,CXCL8; PTAFR; CCL4; XCL2; CCL3; XCL1
137,Nuclear signaling by ErbB4,2/40,5.43e-02,EREG; HBEGF
138,Bladder cancer,2/42,5.91e-02,CXCL8; VEGFA
139,"Platelet activation, signaling and aggregation",4/205,6.15e-02,SERPINE1; HRG; RHOB; VEGFA
140,Gastrin-CREB signaling pathway via PKC and MAPK,4/206,6.20e-02,PTAFR; XCL2; XCL1; HBEGF
141,Heart development,2/44,6.27e-02,BHLHE40; VEGFA
142,PI3K events in ERBB2 signaling,2/44,6.27e-02,EREG; HBEGF
143,Defensins,2/45,6.39e-02,DEFA4; DEFA3
144,Integrin-linked kinase signaling,2/45,6.39e-02,JUN; SNAI1
145,Interleukin-3 signaling pathway,2/45,6.39e-02,JUN; CXCL8
146,p53 activity regulation,3/118,6.39e-02,SERPINE1; PMAIP1; GADD45G
147,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",2/47,6.86e-02,AIM2; NLRC4
148,"Lipid digestion, mobilization, and transport",2/48,7.08e-02,APOA2; APOE
149,Activation of NOXA and translocation to mitochondria,1/5,7.15e-02,PMAIP1
150,Kit receptor transcriptional targets,1/5,7.15e-02,VEGFA
151,Neurophilin interactions with VEGF and VEGF receptor,1/5,7.15e-02,VEGFA
152,Autoimmune thyroid disease,2/52,8.01e-02,PRF1; GZMB
153,Androgen receptor regulation of biosynthesis and transcription,2/53,8.24e-02,EGR1; JUN
154,Cell adhesion molecules (CAMs),3/133,8.25e-02,VCAM1; CD8A; NCAM1
155,Focal adhesion,4/233,8.31e-02,JUN; SPP1; RHOB; VEGFA
156,RANKL signaling pathway,2/54,8.35e-02,JUN; VCAM1
157,Hemostasis pathway,6/468,8.35e-02,PLAU; SERPINE1; MRVI1; HRG; RHOB; VEGFA
158,T cell receptor signaling in naive CD8+ T cells,2/55,8.54e-02,CD8A; PRF1
159,Diabetes pathways,3/137,8.62e-02,CXCL8; LEP; CTSG
160,T cell receptor signaling pathway,3/139,8.83e-02,JUN; IFNG; CD8A
161,Systemic lupus erythematosus,3/139,8.83e-02,IFNG; CTSG; ELANE
162,Pathogenic Escherichia coli infection,2/57,8.90e-02,TUBA1A; TLR5
163,Inactivation of BCL-2 by BH3-only proteins,1/7,9.22e-02,PMAIP1
164,Circadian rhythm,2/62,1.02e-01,SERPINE1; BHLHE40
165,TSP1-induced apoptosis in microvascular endothelial cell,1/8,1.03e-01,JUN
166,Mechanism of acetaminophen activity and toxicity,1/8,1.03e-01,PTGS2
167,Organic cation transport,1/8,1.03e-01,SLC22A4
168,Activation of pro-caspase 8,1/9,1.12e-01,TNFSF10
169,Alpha-4 beta-7 integrin signaling,1/9,1.12e-01,VCAM1
170,EGFR transactivation by gastrin,1/9,1.12e-01,HBEGF
171,Gene expression regulation by hypoxia-inducible factor,1/9,1.12e-01,VEGFA
172,Telomerase regulation,2/67,1.12e-01,JUN; IFNG
173,NFAT involvement in hypertrophy of the heart,2/69,1.18e-01,ALOX15B; HBEGF
174,Free radical-induced apoptosis,1/10,1.18e-01,CXCL8
175,TRAF6-mediated IRF7 activation in TLR7/8 or 9 signaling,1/10,1.18e-01,TLR8
176,Ran role in mitotic spindle regulation,1/10,1.18e-01,TPX2
177,Renal cell carcinoma,2/70,1.18e-01,JUN; VEGFA
178,Activation of the AP-1 family of transcription factors,1/10,1.18e-01,JUN
179,MicroRNA regulation of DNA damage response,2/70,1.18e-01,PMAIP1; GADD45G
180,Apoptotic DNA fragmentation and tissue homeostasis,1/10,1.18e-01,GZMB
181,E2F transcription factor network,2/74,1.26e-01,PLAU; SERPINE1
182,Integrins in angiogenesis,2/74,1.26e-01,SPP1; VEGFA
183,Reversal of insulin resistance by leptin,1/11,1.26e-01,LEP
184,Bone mineralization regulation,1/11,1.26e-01,SPP1
185,Signaling by VEGF,1/11,1.26e-01,VEGFA
186,VEGF signaling pathway,2/76,1.30e-01,PTGS2; VEGFA
187,ERK inactivation,1/12,1.35e-01,DUSP4
188,Toll-like receptor endosomal trafficking and processing,1/12,1.35e-01,TLR8
189,p73 transcription factor network,2/79,1.37e-01,TUBA1A; SERPINE1
190,Nuclear beta-catenin signaling and target gene transcription regulation,2/80,1.40e-01,JUN; CXCL8
191,T helper cell surface molecules,1/13,1.42e-01,CD8A
192,Death receptor signaling,1/13,1.42e-01,TNFSF10
193,MAP kinase downregulation by phosphorylation of MEK1 by Cdk5/p35,1/13,1.42e-01,EGR1
194,Organic cation/anion/zwitterion transport,1/13,1.42e-01,SLC22A4
195,Differentiation pathway in PC12 cells,2/84,1.48e-01,EGR1; JUN
196,C-Myb transcription factor network,2/85,1.49e-01,PTGS2; ELANE
197,Integrin cell surface interactions,2/85,1.49e-01,VCAM1; SPP1
198,T cell receptor/JNK pathway,1/14,1.49e-01,JUN
199,Interferon gamma signaling regulation,1/14,1.49e-01,IFNG
200,HDL-mediated lipid transport,1/15,1.54e-01,APOE
201,Erythrocyte differentiation pathway,1/15,1.54e-01,CCL3
202,Calcium signaling by HBx of hepatitis B virus,1/15,1.54e-01,JUN
203,Hematopoietic cell lineage,2/88,1.54e-01,CD8A; IL1R2
204,"Androgen receptor signaling, proteolysis, and transcription regulation",2/88,1.54e-01,JUN; RHOB
205,Repression of pain sensation by the transcriptional regulator DREAM,1/15,1.54e-01,JUN
206,Neural crest differentiation,2/91,1.61e-01,SNAI1; RHOB
207,Renin-angiotensin system,1/17,1.61e-01,CTSG
208,Osteoclast signaling,1/17,1.61e-01,SPP1
209,Insulin-like growth factor (IGF) activity regulation by insulin-like growth factor binding proteins (IGFBPs),1/17,1.61e-01,CTSG
210,Dendritic cells in regulating TH1 and TH2 development,1/17,1.61e-01,IFNG
211,Synaptic proteins at the synaptic junction,1/17,1.61e-01,NCAM1
212,Cadmium-induced DNA biosynthesis and proliferation in macrophages,1/17,1.61e-01,JUN
213,Post-chaperonin tubulin folding pathway,1/17,1.61e-01,TUBA1A
214,Syndecan 3 pathway,1/17,1.61e-01,CXCL8
215,ACE inhibitor pathway,1/17,1.61e-01,CTSG
216,Selenium metabolism and selenoproteins,1/16,1.61e-01,JUN
217,"Ghrelin biosynthesis, secretion, and deacylation",1/16,1.61e-01,LEP
218,Signaling by ERBB4,2/93,1.61e-01,EREG; HBEGF
219,Activation of BH3-only proteins,1/17,1.61e-01,PMAIP1
220,Endocytosis,3/201,1.61e-01,IL2RB; FOLR3; HSPA1B
221,Pathways in cancer,4/325,1.61e-01,JUN; CXCL8; PTGS2; VEGFA
222,Adaptive immune system,6/606,1.64e-01,VCAM1; CD8A; KIR3DL1; KIR2DL1; KIR3DL2; KIR2DL3
223,Serotonin receptor 4/6/7 and NR3C signaling,1/18,1.67e-01,EGR1
224,Effect of METS on macrophage differentiation,1/18,1.67e-01,JUN
225,Wnt signaling pathway and pluripotency,2/98,1.67e-01,JUN; PLAU
226,Potassium channels,2/99,1.70e-01,KCNH7; KCNJ2
227,Apoptosis modulation by HSP70,1/19,1.73e-01,HSPA1B
228,Small ligand GPCRs,1/19,1.73e-01,PTAFR
229,GnRH signaling pathway,2/101,1.73e-01,JUN; HBEGF
230,Signaling by ERBB2,2/102,1.75e-01,EREG; HBEGF
231,Nerve growth factor (NGF) pathway,1/20,1.78e-01,JUN
232,Interleukin-3 regulation of hematopoietic cells,1/20,1.78e-01,CXCL8
233,Estrogen receptor signaling pathway,1/20,1.78e-01,JUN
234,ID regulation of gene expression,1/20,1.78e-01,CXCL8
235,ERBB1 downstream pathway,2/106,1.83e-01,EGR1; JUN
236,IGF1 signaling pathway,1/21,1.84e-01,JUN
237,Oxidative stress-induced gene expression via Nrf2,1/21,1.84e-01,JUN
238,Signaling by interleukins,2/109,1.89e-01,IL1R2; IL2RB
239,Epstein-Barr virus LMP1 signaling,1/22,1.91e-01,CXCL8
240,"Incretin biosynthesis, secretion, and inactivation",1/23,1.93e-01,LEP
241,Interleukin-11 pathway,1/23,1.93e-01,JUN
242,Eicosanoid metabolism,1/23,1.93e-01,PTGS2
243,Modulation of interferon signaling by chaperones,1/23,1.93e-01,IFNG
244,Angiogenesis,1/23,1.93e-01,VEGFA
245,Epidermal growth factor receptor (EGFR) pathway,2/111,1.93e-01,JUN; RHOB
246,Signaling events mediated by PRL,1/23,1.93e-01,EGR1
247,Wnt signaling pathway,3/231,1.93e-01,JUN; PLAU; KREMEN1
248,Plexin D1 signaling,1/24,1.99e-01,VEGFA
249,Inhibition of cellular proliferation by Gleevec,1/24,1.99e-01,JUN
250,Signaling by GPCR,8/977,2.01e-01,CXCL8; PTAFR; CCL4; XCL2; CCL3; XCL1; RHOB; HBEGF
251,Cellular response to hypoxia,1/25,2.01e-01,VEGFA
252,Corticotropin releasing hormone pathway,1/25,2.01e-01,CXCL8
253,TPO signaling pathway,1/25,2.01e-01,JUN
254,Fatty acid biosynthesis,1/25,2.01e-01,ECHDC3
255,Ghrelin pathway,1/25,2.01e-01,CXCL8
256,Prolactin regulation of apoptosis,2/118,2.01e-01,DUSP4; EGR1
257,Physiological and pathological hypertrophy  of the heart,1/26,2.07e-01,JUN
258,VEGFR1 pathway,1/27,2.12e-01,VEGFA
259,TNF/stress-related signaling,1/27,2.12e-01,JUN
260,CTCF pathway,1/27,2.12e-01,TGFBR3
261,Cooperation of prefoldin and TriC/CCT  in actin and tubulin folding,1/27,2.12e-01,TUBA1A
262,TRAIL signaling pathway,1/28,2.16e-01,TNFSF10
263,Interleukin receptor SHC signaling,1/28,2.16e-01,IL2RB
264,Nitric oxide stimulation of guanylate cyclase,1/28,2.16e-01,MRVI1
265,PERK-regulated gene expression,1/28,2.16e-01,CXCL8
266,S1P/S1P3 pathway,1/29,2.20e-01,VEGFA
267,Sema4D in semaphorin signaling,1/29,2.20e-01,RHOB
268,Matrix metalloproteinases,1/29,2.20e-01,MMP25
269,Interferon-beta enhancer pathway,1/30,2.21e-01,JUN
270,PDGFA signaling pathway,1/30,2.21e-01,JUN
271,Ovarian infertility genes,1/30,2.21e-01,EGR1
272,p38-alpha and p38-beta regulation,1/30,2.21e-01,DUSP10
273,Tumor necrosis factor (TNF) pathway,1/30,2.21e-01,JUN
274,TNFR1 signaling pathway,1/30,2.21e-01,JUN
275,Asthma,1/30,2.21e-01,PRG2
276,Signaling pathway from G-protein families,1/30,2.21e-01,JUN
277,Adipogenesis,2/133,2.23e-01,LEP; SERPINE1
278,Prostaglandin biosynthesis and regulation,1/31,2.23e-01,PTGS2
279,CD40/CD40L signaling,1/31,2.23e-01,JUN
280,Stathmin and breast cancer resistance to antimicrotubule agents,1/31,2.23e-01,TUBA1A
281,Inwardly rectifying potassium channels,1/31,2.23e-01,KCNJ2
282,NF-kappaB activation by non-typeable Hemophilus influenzae,1/31,2.23e-01,CXCL8
283,Syndecan 2 pathway,1/33,2.34e-01,CXCL8
284,Glycoprotein VI-mediated activation cascade,1/33,2.34e-01,RHOB
285,Monoamine transport,1/34,2.36e-01,AMPH
286,MAPK/TRK pathway,1/34,2.36e-01,EGR1
287,Induction of apoptosis through DR3 and DR4/5 death receptors,1/34,2.36e-01,TNFSF10
288,EPO receptor signaling,1/34,2.36e-01,JUN
289,EGF receptor transactivation by GPCRs in cardiac hypertrophy,1/34,2.36e-01,JUN
290,Neuroactive ligand-receptor interaction,3/272,2.36e-01,LEP; PTAFR; CTSG
291,Primary immunodeficiency,1/35,2.38e-01,CD8A
292,Autophagy regulation,1/35,2.38e-01,IFNG
293,Signal transduction by L1,1/35,2.38e-01,NCAM1
294,Interleukin-2/PI3K pathway,1/35,2.38e-01,IL2RB
295,Linoleic acid metabolism,1/35,2.38e-01,ALOX15
296,Insulin signaling pathway,3/277,2.38e-01,EGR1; JUN; RHOB
297,PI3K/PLC/TRK pathway,1/36,2.43e-01,EGR1
298,Latent infection of Homo sapiens with Mycobacterium tuberculosis,1/37,2.46e-01,LTF
299,Interleukin-23-mediated signaling events,1/37,2.46e-01,IFNG
300,ALK in cardiac myocytes,1/37,2.46e-01,TGFBR3
301,Signaling of hepatocyte growth factor receptor,1/38,2.51e-01,JUN
302,Signal transduction through IL-1R,1/38,2.51e-01,JUN
303,Integrated breast cancer pathway,2/152,2.53e-01,JUN; VEGFA
304,Angiotensin II-mediated activation of JNK pathway via Pyk2-dependent signaling,1/39,2.53e-01,JUN
305,Signaling events regulated by Ret tyrosine kinase,1/39,2.53e-01,JUN
306,FAS pathway and stress induction of heat shock protein regulation,1/39,2.53e-01,JUN
307,Integrin signaling pathway,2/155,2.58e-01,JUN; RHOB
308,Fc epsilon receptor I signaling in mast cells,1/41,2.59e-01,JUN
309,ERBB1 internalization pathway,1/41,2.59e-01,AMPH
310,FOXM1 transcription factor network,1/41,2.59e-01,HSPA1B
311,Alpha-M beta-2 integrin signaling,1/41,2.59e-01,PLAU
312,Plasma membrane estrogen receptor signaling,1/41,2.59e-01,HBEGF
313,Transcriptional activity of SMAD2/SMAD3-SMAD4 heterotrimer,1/41,2.59e-01,SERPINE1
314,TWEAK signaling pathway,1/42,2.62e-01,JUN
315,"VEGF, hypoxia, and angiogenesis",1/42,2.62e-01,VEGFA
316,Signaling events mediated by T cell protein tyrosine phosphatase (TC-PTP),1/42,2.62e-01,VEGFA
317,Voltage-gated potassium channels,1/43,2.67e-01,KCNH7
318,ERBB2/ERBB3 signaling events,1/44,2.70e-01,JUN
319,HNF3A pathway,1/44,2.70e-01,JUN
320,NCAM1 interactions,1/44,2.70e-01,NCAM1
321,RhoA signaling pathway,1/45,2.73e-01,JUN
322,Wnt interactions in lipid metabolism and immune response,1/45,2.73e-01,APOE
