,Term,Overlap,Adjusted P-value,Genes
130,CTCF pathway,2/27,3.45e-02,TGFBR3; CDKN2A
131,TNF/stress-related signaling,2/27,3.45e-02,JUN; MAPK14
132,Toll receptor cascades,4/159,3.57e-02,JUN; UBE2L6; TLR5; MAPK14
133,Differentiation pathway in PC12 cells,3/84,3.66e-02,EGR1; JUN; MAPK14
134,C-Myb transcription factor network,3/85,3.72e-02,CDKN1A; CDKN2A; BIRC3
135,TGF-beta regulation of skeletal system development,3/85,3.72e-02,CDKN2B; IFNG; THBS1
136,Hemostasis pathway,7/468,3.76e-02,SERPINB2; PLAU; SIRPG; SERPINE1; MAPK14; PRKCZ; THBS1
137,Statin pathway,2/29,3.76e-02,APOE; LDLR
138,T cell receptor calcium pathway,2/29,3.76e-02,JUN; IFNG
139,Purine metabolism,4/164,3.77e-02,NT5E; PNP; POLR1D; DCK
140,Inflammatory response pathway,2/30,3.85e-02,IFNG; THBS1
141,Tumor necrosis factor (TNF) pathway,2/30,3.85e-02,JUN; BIRC3
142,Nuclear events mediated by MAP kinases,2/30,3.85e-02,JUN; MAPK14
143,Hematopoietic cell lineage,3/88,3.85e-02,MME; FLT3; FCGR1A
144,TNFR1 signaling pathway,2/30,3.85e-02,JUN; BIRC3
145,Alpha-V beta-3 integrin/OPN pathway,2/31,4.05e-02,JUN; PLAU
146,NF-kappaB activation by non-typeable Hemophilus influenzae,2/31,4.05e-02,CXCL8; MAPK14
147,ERBB signaling pathway,3/94,4.49e-02,CDKN1A; JUN; HBEGF
148,HIF-2-alpha transcription factor network,2/34,4.74e-02,SERPINE1; SLC2A1
149,MAPK/TRK pathway,2/34,4.74e-02,EGR1; MAPK14
150,Mitochondrial pathway of apoptosis: BH3-only Bcl-2 family,3/97,4.79e-02,JUN; PPP2R2B; PRKCZ
151,Autophagy regulation,2/35,4.88e-02,IFNG; GABARAP
152,Cytokines and inflammatory response,2/35,4.88e-02,CXCL8; IFNG
153,Interleukin-2/PI3K pathway,2/35,4.88e-02,PRKCZ; JAK3
154,TNF-alpha signaling pathway,3/101,5.16e-02,JUN; PRKCZ; BIRC3
155,GnRH signaling pathway,3/101,5.16e-02,JUN; MAPK14; HBEGF
156,Interleukin-23-mediated signaling events,2/37,5.32e-02,IFNG; IL24
157,Signal transduction through IL-1R,2/38,5.53e-02,JUN; MAPK14
158,p38 alpha/beta MAPK downstream pathway,2/38,5.53e-02,JUN; MAPK14
159,Amoebiasis,3/105,5.55e-02,CXCL8; SERPINB2; IFNG
160,Fibroblast growth factor receptor pathway,3/105,5.55e-02,CDKN2A; MAPK14; PRKCZ
161,ERBB1 downstream pathway,3/106,5.65e-02,EGR1; JUN; PRKCZ
162,Angiotensin II-mediated activation of JNK pathway via Pyk2-dependent signaling,2/39,5.66e-02,JUN; MAPK14
163,G alpha i pathway,3/108,5.87e-02,MAPK14; PRKCZ; HBEGF
164,Jak-STAT signaling pathway,4/199,6.04e-02,CXCL8; IFNG; IL24; JAK3
165,Alpha-M beta-2 integrin signaling,2/41,6.04e-02,PLAU; PRKCZ
166,Transcriptional activity of SMAD2/SMAD3-SMAD4 heterotrimer,2/41,6.04e-02,CDKN2B; SERPINE1
167,FOXM1 transcription factor network,2/41,6.04e-02,CDKN2A; HSPA1B
168,TWEAK signaling pathway,2/42,6.25e-02,JUN; MAPK14
169,Urokinase-type plasminogen activator (uPA) and uPAR-mediated signaling,2/42,6.25e-02,PLAU; SERPINE1
170,Beta-3 integrin cell surface interactions,2/43,6.46e-02,PLAU; THBS1
171,"Platelet activation, signaling and aggregation",4/205,6.46e-02,SERPINE1; MAPK14; PRKCZ; THBS1
172,PI3K events in ERBB2 signaling,2/44,6.70e-02,CDKN1A; HBEGF
173,RhoA signaling pathway,2/45,6.87e-02,JUN; PRKCZ
174,Wnt interactions in lipid metabolism and immune response,2/45,6.87e-02,SIAH2; APOE
175,Interleukin-3 signaling pathway,2/45,6.87e-02,JUN; CXCL8
176,Immunoregulatory interactions between a lymphoid and a non-lymphoid cell,3/119,7.01e-02,KIR2DL1; KIR2DL3; KIR2DL4
177,Notch signaling pathway,3/121,7.28e-02,CDKN1A; FURIN; BIRC3
178,Delta Np63 pathway,2/47,7.33e-02,CDKN2A; IGFBP3
179,Signaling by PDGF,3/122,7.35e-02,CDKN1A; FURIN; THBS1
180,ATM pathway,2/48,7.54e-02,CDKN1A; JUN
181,Phospholipase C delta-1 interactions in phospholipid-associated cell signaling,1/5,7.58e-02,TGM2
182,Kit receptor transcriptional targets,1/5,7.58e-02,SLC2A1
183,Maturation of Notch precursor via proteolytic cleavage,1/5,7.58e-02,FURIN
184,Angiopoietin receptor Tie2-mediated signaling,2/49,7.58e-02,CDKN1A; MAPK14
185,Ceramide signaling pathway,2/49,7.58e-02,PRKCZ; BIRC3
186,G alpha 12 pathway,2/49,7.58e-02,JUN; MAPK14
187,Type II interferon signaling (interferon-gamma),2/50,7.83e-02,IFNG; GBP1
188,PI3K pathway,2/53,8.67e-02,CDKN2A; PRKCZ
189,Focal adhesion,4/233,8.70e-02,JUN; FLNB; THBS1; BIRC3
190,ADP signalling through P2Y purinoceptor 1,1/6,8.70e-02,MAPK14
191,Proteolysis and signaling pathway of Notch,1/6,8.70e-02,FURIN
192,Low-density lipoprotein (LDL) pathway during atherogenesis,1/6,8.70e-02,LDLR
193,RANKL signaling pathway,2/54,8.75e-02,JUN; MAPK14
194,"TNF-alpha effects on cytokine activity, cell motility, and apoptosis",3/135,8.80e-02,CXCL8; BIRC3; HBEGF
195,Calcineurin-dependent NFAT signaling role in lymphocytes,2/55,8.91e-02,MAPK14; PRKCZ
196,Ubiquitin-mediated proteolysis,3/136,8.91e-02,SIAH1; UBE2L6; BIRC3
197,Signal transduction,10/1020,8.97e-02,CX3CR1; JUN; CDKN1A; CDKN2B; CXCL8; ARAP2; CCL3; FURIN; MAPK14; HBEGF
198,Cytosolic DNA-sensing pathway,2/56,9.11e-02,AIM2; POLR1D
199,Pre-NOTCH expression and processing,2/57,9.32e-02,JUN; FURIN
200,SHP2 signaling,2/57,9.32e-02,IFNG; JAK3
201,Apoptosis,4/242,9.34e-02,JUN; CDKN2A; DAPK2; BIRC3
202,Highly sodium permeable acetylcholine nicotinic receptors,1/7,9.49e-02,CHRNA3
203,FXR and LXR regulation of cholesterol metabolism,1/7,9.49e-02,LDLR
204,Arachidonate epoxygenase/epoxide hydrolase pathway,1/7,9.49e-02,EPHX2
205,SARS coronavirus protease,1/7,9.49e-02,MAPK14
206,Proepithelin conversion to epithelin and wound repair control,1/8,1.06e-01,CXCL8
207,SREBP control of lipid biosynthesis,1/8,1.06e-01,LDLR
208,Vitamin C (ascorbate) metabolism,1/8,1.06e-01,SLC2A1
209,Organic cation transport,1/8,1.06e-01,SLC22A4
210,Endothelins,2/64,1.10e-01,JUN; MAPK14
211,Glioma,2/65,1.12e-01,CDKN1A; CDKN2A
212,Myometrial relaxation and contraction pathways,3/155,1.14e-01,JUN; IGFBP3; PRKCZ
213,Thyroid-stimulating hormone signaling pathway,2/66,1.14e-01,JUN; MAPK14
214,EGFR transactivation by gastrin,1/9,1.15e-01,HBEGF
215,Rapid glucocorticoid receptor pathway,1/9,1.15e-01,MAPK14
216,Pyrimidine salvage reactions,1/9,1.15e-01,DCK
217,Telomerase regulation,2/67,1.15e-01,JUN; IFNG
218,NFAT involvement in hypertrophy of the heart,2/69,1.21e-01,MAPK14; HBEGF
219,Antiviral mechanism by interferon-stimulated genes,2/70,1.22e-01,UBE2L6; FLNB
220,Renal cell carcinoma,2/70,1.22e-01,JUN; SLC2A1
221,Complement and coagulation cascades,2/70,1.22e-01,PLAU; SERPINE1
222,DCC role in regulating apoptosis,1/10,1.23e-01,DAPK2
223,Free radical-induced apoptosis,1/10,1.23e-01,CXCL8
224,RIG-I-like receptor signaling pathway,2/71,1.23e-01,CXCL8; MAPK14
225,Melanoma,2/71,1.23e-01,CDKN1A; CDKN2A
226,Chronic myeloid leukemia,2/73,1.29e-01,CDKN1A; CDKN2A
227,Myc repressed pathway,2/73,1.29e-01,CDKN1A; CDKN2B
228,"Gamma-carboxylation, transport, and amino-terminal cleavage of proteins",1/11,1.29e-01,FURIN
229,Osteopontin signaling,1/11,1.29e-01,PLAU
230,Glypican-3 pathway,1/11,1.29e-01,FURIN
231,Erythropoietin-mediated neuroprotection through NF-kB,1/11,1.29e-01,CDKN1A
232,Down syndrome cell adhesion molecule (DSCAM) interactions,1/11,1.29e-01,MAPK14
233,Seven transmembrane receptor signaling through beta-arrestin,2/74,1.29e-01,PPP2R2B; MAPK14
234,Vitamin C in the brain,1/11,1.29e-01,SLC2A1
235,Prolactin activation of MAPK signaling,2/75,1.30e-01,JUN; MAPK14
236,Glycolysis and gluconeogenesis,2/75,1.30e-01,LDHB; SLC2A1
237,Gamma-aminobutyric acid receptor life cycle,1/12,1.35e-01,GABARAP
238,Mitochondrial pathway of apoptosis: caspases,2/77,1.35e-01,HSPA1B; BIRC3
239,Parkin role in the ubiquitin-proteasomal pathway,1/12,1.35e-01,UBE2L6
240,Pyrimidine catabolism,1/12,1.35e-01,NT5E
241,SODD/TNFR1 signaling pathway,1/12,1.35e-01,BIRC3
242,Salmonella infection,1/12,1.35e-01,WASF1
243,D4-GDI signaling pathway,1/12,1.35e-01,JUN
244,Facilitative sodium-independent glucose transporters,1/12,1.35e-01,SLC2A1
245,Metabolism,13/1615,1.35e-01,EPHX2; DCK; AGMAT; LDHB; NT5E; PNP; POLR1D; CMPK2; PHGDH; APOE; ANGPTL4; LDLRAP1; LDLR
246,Organic cation/anion/zwitterion transport,1/13,1.41e-01,SLC22A4
247,MAP kinase downregulation by phosphorylation of MEK1 by Cdk5/p35,1/13,1.41e-01,EGR1
248,Interleukin-22 soluble receptor signaling pathway,1/13,1.41e-01,JAK3
249,Ghrelin-mediated regulation of food intake and energy homeostasis,1/13,1.41e-01,IGFBP3
250,TACI and BCMA stimulation of B cell immune responses,1/13,1.41e-01,MAPK14
251,Signal regulatory protein (SIRP) family interactions,1/13,1.41e-01,SIRPG
252,MAP kinase signaling pathway,2/81,1.41e-01,JUN; MAPK14
253,Response to elevated platelet cytosolic calcium,2/83,1.44e-01,SERPINE1; THBS1
254,T cell signal transduction,2/83,1.44e-01,MAPK14; PRKCZ
255,MAP kinase inactivation of SMRT corepressor,1/14,1.45e-01,MAPK14
256,Interferon gamma signaling regulation,1/14,1.45e-01,IFNG
257,DCC-mediated attractive signaling,1/14,1.45e-01,ABLIM1
258,T cell receptor/JNK pathway,1/14,1.45e-01,JUN
259,Polyamine metabolism,1/14,1.45e-01,AGMAT
260,Acetylcholine binding and downstream events,1/14,1.45e-01,CHRNA3
261,AKT phosphorylation of cytosolic targets,1/14,1.45e-01,CDKN1A
262,Small cell lung cancer,2/84,1.45e-01,CDKN2B; BIRC3
263,Adhesion and diapedesis of lymphocytes,1/14,1.45e-01,CXCL8
264,HDL-mediated lipid transport,1/15,1.51e-01,APOE
265,Interleukin-17 signaling pathway,1/15,1.51e-01,CXCL8
266,Hematopoiesis regulation by cytokines,1/15,1.51e-01,CXCL8
267,Calcium signaling by HBx of hepatitis B virus,1/15,1.51e-01,JUN
268,HIF-1 degradation in normoxia,2/88,1.51e-01,MAPK14; PRKCZ
269,"Androgen receptor signaling, proteolysis, and transcription regulation",2/88,1.51e-01,CDKN1A; JUN
270,Peptide G-protein coupled receptors,3/192,1.51e-01,CX3CR1; CXCL8; CCL3
271,Repression of pain sensation by the transcriptional regulator DREAM,1/15,1.51e-01,JUN
272,Thymic stromal lymphopoietin (TSLP) pathway,2/90,1.55e-01,CXCL8; CCL3
273,Cell cycle,5/453,1.55e-01,CDKN1A; CDKN2B; CDKN2A; MYBL2; NDEL1
274,Amino acid biosynthesis and interconversion (transamination),1/16,1.55e-01,PHGDH
275,Rb tumor suppressor/checkpoint signaling in response to DNA damage,1/16,1.55e-01,CDKN1A
276,SREBF and miR-33 in cholesterol and lipid homeostasis,1/16,1.55e-01,LDLR
277,TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition),1/16,1.55e-01,PRKCZ
278,Hypoxia-inducible factor in the cardivascular system,1/16,1.55e-01,JUN
279,Interleukin-10 anti-inflammatory signaling pathway,1/16,1.55e-01,MAPK14
280,Interleukin-9 signaling pathway,1/16,1.55e-01,JAK3
281,Destabilization of mRNA by KSRP,1/17,1.56e-01,MAPK14
282,Dendritic cells in regulating TH1 and TH2 development,1/17,1.56e-01,IFNG
283,Inflammasomes,1/17,1.56e-01,AIM2
284,TAK1-mediated activation of p38 MAPK,1/17,1.56e-01,MAPK14
285,Integrin beta-5 pathway,1/17,1.56e-01,PLAU
286,NO2-dependent IL-12 pathway in NK cells,1/17,1.56e-01,IFNG
287,Insulin-like growth factor (IGF) activity regulation by insulin-like growth factor binding proteins (IGFBPs),1/17,1.56e-01,IGFBP3
288,Syndecan 3 pathway,1/17,1.56e-01,CXCL8
289,Axon guidance,4/325,1.56e-01,ABLIM1; SIAH2; SIAH1; RHOC
290,Cadmium-induced DNA biosynthesis and proliferation in macrophages,1/17,1.56e-01,JUN
291,Signaling by ERBB4,2/93,1.56e-01,CDKN1A; HBEGF
292,Fc gamma receptor-mediated phagocytosis,2/94,1.56e-01,WASF1; FCGR1A
293,Cells and molecules involved in local acute inflammatory response,1/17,1.56e-01,CXCL8
294,Renin-angiotensin system,1/17,1.56e-01,MME
295,Platelet sensitization by LDL,1/17,1.56e-01,MAPK14
296,Atypical NF-kappaB pathway,1/17,1.56e-01,MAPK14
297,Adaptive immune system,6/606,1.58e-01,CDKN1A; UBE2L6; KIR2DL1; FCGR1A; KIR2DL3; KIR2DL4
298,"Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds",2/96,1.58e-01,SLC22A4; SLC2A1
299,Pre-NOTCH processing in Golgi,1/18,1.61e-01,FURIN
300,Serotonin receptor 4/6/7 and NR3C signaling,1/18,1.61e-01,EGR1
301,Effect of METS on macrophage differentiation,1/18,1.61e-01,JUN
